Generation,BestFitness,AvgFitness,WorstFitness
902,951.89,76.83,-50.10
903,1500.58,40.86,-50.10
904,31.96,-25.65,-50.10
905,2000.00,90.42,-50.10
906,21.18,-28.85,-50.10
907,26.69,-36.22,-50.10
908,1003.42,15.06,-50.10
909,2508.48,90.05,-50.10
910,504.86,-4.15,-50.10
911,22.87,-17.12,-50.10
912,500.09,8.85,-50.10
913,2004.67,124.68,-50.10
914,2000.00,142.27,-50.10
915,16.03,-29.42,-50.10
916,954.04,13.97,-50.10
917,1001.47,72.58,-50.10
918,509.23,17.59,-50.10
919,2000.00,66.77,-50.10
920,2502.31,218.83,-50.10
921,500.05,12.73,-50.10
922,18.13,-33.35,-50.10
923,500.00,-9.34,-50.10
924,2000.00,152.27,-50.10
925,2000.00,64.21,-50.10
926,1003.40,69.45,-50.10
927,1949.90,76.10,-50.10
928,11.78,-25.82,-50.10
929,959.90,24.73,-50.10
930,509.66,-1.11,-50.10
931,505.17,-7.61,-50.10
932,500.00,-11.03,-50.10
933,2000.00,96.64,-50.10
934,500.14,-4.06,-50.10
935,1004.11,61.63,-50.10
936,1012.51,106.30,-50.10
937,2449.90,110.08,-50.10
938,2000.00,98.72,-50.10
939,500.00,-6.26,-50.10
940,19.55,-21.60,-50.10
941,504.47,-0.13,-50.10
942,1012.13,57.57,-50.10
943,1503.43,126.49,-50.10
944,506.43,-7.78,-50.10
945,960.59,94.11,-50.10
946,500.07,14.18,-50.10
947,29.56,-15.39,-50.10
948,20.58,-28.82,-50.10
949,1501.06,35.43,-50.10
950,2003.68,179.68,-50.10
951,1003.64,20.22,-50.10
952,2006.92,128.94,-50.10
953,1512.42,35.15,-50.10
954,2000.00,166.48,-50.10
955,954.16,15.43,-50.10
956,2454.51,99.63,-50.10
957,1008.12,49.81,-50.10
958,16.45,-20.68,-50.10
959,453.22,-10.08,-50.10
960,1008.58,42.18,-50.10
961,20.80,-31.27,-50.10
962,2449.90,96.65,-50.10
963,503.92,-2.74,-50.10
964,2449.90,112.39,-50.10
965,1001.40,44.67,-50.10
966,502.27,13.44,-50.10
967,31.48,-29.19,-50.10
968,2000.00,70.49,-50.10
969,1003.64,23.06,-50.10
970,2511.93,220.30,-50.10
971,500.93,17.82,-50.10
972,2452.01,92.16,-50.10
973,2949.90,141.71,-50.10
974,2001.80,226.29,-50.10
975,2000.00,72.39,-50.10
976,500.10,-0.57,-50.10
977,505.05,17.49,-50.10
978,2000.00,95.90,-50.10
979,1511.54,38.50,-50.10
980,2004.50,68.00,-50.10
981,503.56,-2.97,-50.10
982,18.02,-20.18,-50.10
983,500.04,-12.61,-50.10
984,952.85,29.79,-50.10
985,3000.00,256.54,-50.10
986,19.77,-35.04,-50.10
987,2001.07,179.52,-50.10
988,954.23,18.44,-50.10
989,20.26,-29.49,-50.10
990,961.43,46.31,-50.10
991,1009.33,45.42,-50.10
992,1503.53,50.82,-50.10
993,1011.10,64.84,-50.10
994,2000.00,67.59,-50.10
995,20.43,-28.92,-50.10
996,500.00,-1.97,-50.10
997,22.49,-24.40,-50.10
998,957.56,63.38,-50.10
999,955.39,16.88,-50.10
