Generation,BestFitness,AvgFitness,WorstFitness
900,500.06,6.75,-50.10
901,1503.95,154.17,-50.10
902,2002.54,186.09,-50.10
903,1507.80,134.43,-50.10
904,1500.00,88.13,-50.09
905,1007.76,88.52,-50.10
906,1010.54,32.57,-50.10
907,504.90,-3.34,-50.10
908,27.53,-22.00,-50.10
909,504.21,4.43,-50.10
910,1001.85,37.61,-50.10
911,18.07,-3.67,-50.10
912,2013.10,139.29,-50.10
913,2002.02,185.04,-50.09
914,502.98,7.60,-50.10
915,28.37,-19.40,-50.10
916,1011.62,85.70,-50.10
917,506.77,8.61,-50.10
918,503.00,15.41,-50.09
919,1010.25,109.62,-50.10
920,1949.90,107.33,-50.09
921,1001.46,69.79,-50.10
922,1008.73,99.58,-50.10
923,28.21,-23.68,-50.10
924,500.29,4.96,-50.10
925,1000.57,88.31,-50.10
926,1004.92,96.86,-50.09
927,455.71,14.93,-50.03
928,13.90,-21.99,-50.10
929,1009.93,65.34,-50.10
